"symbol","yahoo_symbol","name","aliases"
"360ONE","360ONE.NS","360 ONE WAM Ltd.","360one|360 one wam ltd.|360 one wam"
"3MINDIA","3MINDIA.NS","3M India Ltd.","3mindia|3m india ltd.|3m"
"ABB","ABB.NS","ABB India Ltd.","abb|abb india ltd."
"ACC","ACC.NS","ACC Ltd.","acc|acc ltd."
"ACMESOLAR","ACMESOLAR.NS","ACME Solar Holdings Ltd.","acmesolar|acme solar holdings ltd.|acme solar holdings"
"AIAENG","AIAENG.NS","AIA Engineering Ltd.","aiaeng|aia engineering ltd.|aia engineering"
"APLAPOLLO","APLAPOLLO.NS","APL Apollo Tubes Ltd.","aplapollo|apl apollo tubes ltd.|apl apollo tubes"
"AUBANK","AUBANK.NS","AU Small Finance Bank Ltd.","aubank|au small finance bank ltd.|au small finance bank"
"AWL","AWL.NS","AWL Agri Business Ltd.","awl|awl agri business ltd.|awl agri business"
"AADHARHFC","AADHARHFC.NS","Aadhar Housing Finance Ltd.","aadharhfc|aadhar housing finance ltd.|aadhar housing finance"
"AARTIIND","AARTIIND.NS","Aarti Industries Ltd.","aartiind|aarti industries ltd.|aarti"
"AAVAS","AAVAS.NS","Aavas Financiers Ltd.","aavas|aavas financiers ltd.|aavas financiers"
"ABBOTINDIA","ABBOTINDIA.NS","Abbott India Ltd.","abbotindia|abbott india ltd.|abbott"
"ACE","ACE.NS","Action Construction Equipment Ltd.","ace|action construction equipment ltd.|action construction equipment"
"ACUTAAS","ACUTAAS.NS","Acutaas Chemicals Ltd.","acutaas|acutaas chemicals ltd.|acutaas chemicals"
"ADANIENSOL","ADANIENSOL.NS","Adani Energy Solutions Ltd.","adaniensol|adani energy solutions ltd.|adani energy solutions"
"ADANIENT","ADANIENT.NS","Adani Enterprises Ltd.","adanient|adani enterprises ltd.|adani enterprises"
"ADANIGREEN","ADANIGREEN.NS","Adani Green Energy Ltd.","adanigreen|adani green energy ltd.|adani green energy|adani green"
"ADANIPORTS","ADANIPORTS.NS","Adani Ports and Special Economic Zone Ltd.","adaniports|adani ports and special economic zone ltd.|adani ports and special economic zone|adani ports"
"ADANIPOWER","ADANIPOWER.NS","Adani Power Ltd.","adanipower|adani power ltd.|adani power"
"ATGL","ATGL.NS","Adani Total Gas Ltd.","atgl|adani total gas ltd.|adani total gas"
